parcel_num,Category,building_class,year,acres,sqft
011011113,Existing,storage warehouse,2021,2,41000
011011114,Existing,storage warehouse,2021,2,39000
011012110,Existing,distribution warehouse,1982,4,106000
011031145,Existing,distribution warehouse,2016,8,187000
011031146,Existing,distribution warehouse,2016,25,589000
011031148,Existing,distribution warehouse,2016,7,174000
011031149,Existing,distribution warehouse,2016,10,233000
011031150,Existing,distribution warehouse,2016,32,774000
011031151,Existing,distribution warehouse,2016,42,1003000
011031160,Existing,distribution warehouse,2016,14,338000
011321141,Existing,storage warehouse,2021,3,62000
011327110,Existing,distribution warehouse,1989,11,256000
011327123,Existing,storage warehouse,1991,1,34000
011327125,Existing,storage warehouse,1991,1,30000
011327126,Existing,storage warehouse,1991,1,33000
011327127,Existing,storage warehouse,1991,1,29000
011327128,Existing,storage warehouse,1991,1,32000
011327136,Existing,distribution warehouse,2000,6,154000
011327137,Existing,distribution warehouse,2000,7,175000
011327138,Existing,distribution warehouse,2000,5,125000
011327139,Existing,distribution warehouse,2000,3,72000
011334329,Existing,storage warehouse,1988,1,36000
011334331,Existing,storage warehouse,2016,2,43000
011334334,Existing,distribution warehouse,2017,4,103000
011334339,Existing,storage warehouse,2005,3,76000
011335118,Existing,storage warehouse,2006,2,37000
011335119,Existing,storage warehouse,2006,1,31000
011335120,Existing,storage warehouse,2006,2,37000
011335122,Existing,storage warehouse,2008,2,41000
011335123,Existing,storage warehouse,2008,1,34000
011335124,Existing,storage warehouse,2008,2,37000
011335125,Existing,storage warehouse,2008,2,41000
011335126,Existing,flex,2008,5,118000
011335127,Existing,storage warehouse,2008,2,36000
011336147,Existing,distribution warehouse,2000,15,363000
011336149,Existing,storage warehouse,2002,2,36000
011336150,Existing,storage warehouse,2002,2,46000
011336155,Existing,storage warehouse,2006,1,33000
011336156,Existing,storage warehouse,2006,1,30000
011336157,Existing,storage warehouse,2006,1,34000
011336158,Existing,storage warehouse,2006,2,37000
011336159,Existing,flex,2006,7,159000
011336160,Existing,storage warehouse,2005,2,39000
011338210,Existing,flex,1989,4,102000
011338405,Existing,storage warehouse,1990,4,97000
011338406,Existing,storage warehouse,1989,3,71000
011339406,Existing,storage warehouse,2016,2,49000
011339423,Existing,light industrial,1989,7,168000
011339424,Existing,flex,1991,4,107000
011339425,Existing,flex,1989,5,118000
011339426,Existing,storage warehouse,2001,1,36000
011339427,Existing,storage warehouse,2001,2,45000
011339429,Existing,storage warehouse,1998,2,48000
011339430,Existing,storage warehouse,1998,2,40000
011339431,Existing,distribution warehouse,2021,6,133000
011339446,Existing,storage warehouse,2001,2,59000
011339447,Existing,storage warehouse,2001,2,47000
011339502,Existing,light industrial,1990,6,152000
011339509,Existing,storage warehouse,1987,2,40000
011339511,Existing,distribution warehouse,1989,6,144000
011339529,Existing,storage warehouse,1988,1,30000
011339538,Existing,light industrial,1980,6,140000
011339539,Existing,storage warehouse,2001,2,56000
011339540,Existing,storage warehouse,2001,2,44000
011339541,Existing,storage warehouse,2002,2,51000
011339544,Existing,storage warehouse,2002,2,38000
011339545,Existing,storage warehouse,2002,2,37000
011339546,Existing,storage warehouse,2002,3,62000
011339551,Existing,storage warehouse,1987,2,60000
011339552,Existing,storage warehouse,2006,1,33000
011339553,Existing,storage warehouse,2006,2,40000
011339604,Existing,distribution warehouse,2016,5,122000
011339606,Existing,storage warehouse,1991,3,81000
011339607,Existing,storage warehouse,1991,2,55000
011339609,Existing,storage warehouse,1991,2,38000
011339610,Existing,light industrial,2004,4,102000
011339612,Existing,storage warehouse,1982,4,100000
011340105,Existing,distribution warehouse,2000,19,454000
011340106,Existing,flex,2002,18,429000
011340202,Existing,distribution warehouse,2000,9,215000
011340213,Existing,storage warehouse,1999,1,30000
011340215,Existing,flex,2001,18,429000
011340216,Existing,distribution warehouse,2001,5,110000
011341420,Existing,light industrial,1980,4,91000
011341425,Existing,light industrial,1980,4,87000
011341438,Existing,storage warehouse,1998,2,48000
011341440,Existing,storage warehouse,2002,1,32000
011341441,Existing,storage warehouse,2002,1,33000
011341445,Existing,storage warehouse,2004,2,43000
011341572,Existing,storage warehouse,2019,2,57000
011341573,Existing,storage warehouse,2019,1,32000
011341574,Existing,distribution warehouse,2022,9,205000
011342105,Existing,light industrial,1996,16,394000
011342106,Existing,distribution warehouse,1996,9,224000
011342107,Existing,distribution warehouse,1996,8,195000
011342214,Existing,light industrial,2003,10,245000
011343107,Existing,flex,2002,11,261000
011343108,Existing,distribution warehouse,2002,8,184000
011343109,Existing,flex,2002,36,854000
011344109,Existing,distribution warehouse,1997,9,216000
011344110,Existing,distribution warehouse,1997,6,135000
011344111,Existing,distribution warehouse,1997,8,184000
011344112,Existing,distribution warehouse,1997,13,309000
011344216,Existing,distribution warehouse,1999,16,391000
011344217,Existing,distribution warehouse,1999,7,170000
011344218,Existing,distribution warehouse,1999,6,137000
011344219,Existing,distribution warehouse,1999,4,101000
011345119,Existing,light industrial,1999,3,83000
011345128,Existing,storage warehouse,1987,2,54000
011345129,Existing,light industrial,1988,8,197000
011345132,Existing,distribution warehouse,2017,8,182000
011345133,Existing,light industrial,1980,6,149000
011346221,Existing,light industrial,1988,4,97000
011346224,Existing,storage warehouse,2002,1,30000
011346226,Existing,storage warehouse,2002,2,43000
011346227,Existing,light industrial,2022,4,102000
011349118,Existing,distribution warehouse,2012,18,428000
011349130,Existing,distribution warehouse,1988,8,188000
011349139,Existing,light industrial,1987,5,120000
011349171,Existing,storage warehouse,1992,2,40000
011349182,Existing,light industrial,2005,29,704000
011358113,Existing,distribution warehouse,1984,1,31000
011364101,Existing,storage warehouse,1999,2,37000
011364103,Existing,storage warehouse,1999,2,42000
011364104,Existing,storage warehouse,1999,1,33000
011364105,Existing,storage warehouse,1999,2,37000
011364106,Existing,storage warehouse,1999,2,56000
011364107,Existing,storage warehouse,2000,2,37000
011364108,Existing,storage warehouse,2000,2,54000
011364109,Existing,storage warehouse,2000,1,34000
011364114,Existing,flex,2022,4,93000
012806148,Existing,distribution warehouse,2006,17,413000
012806231,Existing,storage warehouse,2003,12,282000
012806327,Existing,light industrial,1987,12,292000
012806329,Existing,flex,2006,32,777000
012806330,Existing,flex,2005,19,444000
012806331,Existing,distribution warehouse,2006,6,152000
012813107,Existing,light industrial,1980,5,122000
012814170,Existing,light industrial,1985,5,109000
012815111,Existing,light industrial,1980,5,124000
012815116,Existing,light industrial,1980,4,98000
012815138,Existing,distribution warehouse,1990,44,1045000
012815139,Existing,storage warehouse,1980,4,94000
012815142,Existing,distribution warehouse,1998,47,1122000
012815149,Existing,distribution warehouse,2008,3,78000
012815150,Existing,distribution warehouse,2008,12,278000
012815152,Existing,light industrial,2006,6,150000
012825104,Existing,storage warehouse,1980,2,52000
013021120,Existing,storage warehouse,1985,2,39000
013021140,Existing,storage warehouse,2008,2,53000
013022226,Existing,storage warehouse,1980,1,29000
013101110,Existing,distribution warehouse,2008,6,134000
013101111,Existing,light industrial,1980,4,98000
013101117,Existing,light industrial,1980,5,120000
013101118,Existing,light industrial,1980,5,109000
013101136,Existing,distribution warehouse,1991,9,214000
013101137,Existing,distribution warehouse,2016,12,290000
013101218,Existing,storage warehouse,1994,10,238000
013213228,Existing,transit warehouse (truck terminal),1980,2,59000
013218208,Existing,distribution warehouse,1987,3,71000
013601146,Existing,storage warehouse,1980,1,28000
013601164,Existing,storage warehouse,2022,2,46000
013610134,Existing,light industrial,1980,4,89000
013612243,Existing,storage warehouse,1980,2,41000
013612290,Existing,distribution warehouse,1980,1,30000
013613245,Existing,storage warehouse,1980,1,31000
013614118,Existing,distribution warehouse,1980,1,31000
013617135,Existing,distribution warehouse,1980,1,34000
013618247,Existing,storage warehouse,2022,4,93000
013627147,Existing,transit warehouse (truck terminal),1980,2,48000
013628232,Existing,light industrial,1980,4,106000
013632104,Existing,storage warehouse,1980,1,33000
013632114,Existing,storage warehouse,1980,1,28000
013632155,Existing,storage warehouse,2008,3,62000
013632156,Existing,light industrial,1980,12,283000
013633117,Existing,light industrial,2007,5,123000
013634165,Existing,distribution warehouse,2004,58,1391000
013634184,Existing,distribution warehouse,2005,50,1187000
013634185,Existing,distribution warehouse,2017,10,245000
013634186,Existing,distribution warehouse,2017,9,216000
013634187,Existing,distribution warehouse,2018,23,558000
013634188,Existing,distribution warehouse,2002,56,1343000
013635101,Existing,distribution warehouse,2006,20,481000
013635116,Existing,distribution warehouse,2006,19,462000
013636136,Existing,distribution warehouse,2012,48,1148000
013636139,Existing,distribution warehouse,2013,27,645000
013636140,Existing,distribution warehouse,2015,9,223000
013637139,Existing,distribution warehouse,2013,39,943000
013638119,Existing,light industrial,2007,5,109000
013639110,Existing,storage warehouse,2004,2,56000
013639122,Existing,storage warehouse,1981,9,209000
013639144,Existing,distribution warehouse,2005,32,763000
013639305,Existing,light industrial,1980,5,123000
013640111,Existing,distribution warehouse,2017,5,126000
013640151,Existing,storage warehouse,1990,2,41000
013640161,Existing,storage warehouse,1998,1,28000
013640163,Existing,storage warehouse,1999,2,51000
013640167,Existing,distribution warehouse,2001,3,83000
013642221,Existing,distribution warehouse,2020,17,401000
013645118,Existing,distribution warehouse,2021,6,149000
013645230,Existing,distribution warehouse,2020,8,192000
013646120,Existing,distribution warehouse,2020,6,145000
013646218,Existing,distribution warehouse,2020,5,114000
